,mean_fit_time,param_n_estimators,param_max_features,param_max_depth,param_criterion,mean_test_f1_score_on_deceased,rank_test_f1_score_on_deceased,mean_test_overall_accuracy,rank_test_overall_accuracy,mean_test_recall_on_deceased,rank_test_recall_on_deceased,mean_test_overall_recall,rank_test_overall_recall
0,1.695806121826172,10,auto,25,entropy,0.10558634133463034,1,0.8515111674838728,13,0.05869203729819613,1,0.8515111674838728,13
1,14.44378457069397,100,auto,25,entropy,0.10177237984638624,7,0.8524674230180469,10,0.055774169104801194,4,0.8524674230180469,10
2,59.68738579750061,400,auto,25,entropy,0.10079448961279913,13,0.8526619873709382,7,0.05512534467153592,13,0.8526619873709382,7
3,119.7582353591919,800,auto,25,entropy,0.10194077136357838,4,0.8526661269578073,4,0.055774169104801194,4,0.8526661269578073,4
4,152.14943990707397,1000,auto,25,entropy,0.10141289455071922,10,0.852670267230138,1,0.055450019996211256,10,0.852670267230138,1
5,1.80643892288208,10,sqrt,25,entropy,0.10558634133463034,1,0.8515111674838728,13,0.05869203729819613,1,0.8515111674838728,13
6,15.515916013717652,100,sqrt,25,entropy,0.10177237984638624,7,0.8524674230180469,10,0.055774169104801194,4,0.8524674230180469,10
7,61.456831502914426,400,sqrt,25,entropy,0.10079448961279913,13,0.8526619873709382,7,0.05512534467153592,13,0.8526619873709382,7
8,131.15568385124206,800,sqrt,25,entropy,0.10194077136357838,4,0.8526661269578073,4,0.055774169104801194,4,0.8526661269578073,4
9,153.04103231430054,1000,sqrt,25,entropy,0.10141289455071922,10,0.852670267230138,1,0.055450019996211256,10,0.852670267230138,1
10,1.7741987228393554,10,log2,25,entropy,0.10558634133463034,1,0.8515111674838728,13,0.05869203729819613,1,0.8515111674838728,13
11,16.299056911468504,100,log2,25,entropy,0.10177237984638624,7,0.8524674230180469,10,0.055774169104801194,4,0.8524674230180469,10
12,63.28285870552063,400,log2,25,entropy,0.10079448961279913,13,0.8526619873709382,7,0.05512534467153592,13,0.8526619873709382,7
13,123.57823967933655,800,log2,25,entropy,0.10194077136357838,4,0.8526661269578073,4,0.055774169104801194,4,0.8526661269578073,4
14,149.95095758438111,1000,log2,25,entropy,0.10141289455071922,10,0.852670267230138,1,0.055450019996211256,10,0.852670267230138,1
